arg1_rel,arg2_rel,arg1,arg2,text,text_pl
Product,Producer,e2,e1,"The <e1>factory</e1>'s products have included flower pots, Finnish rooster-whistles, pans, <e2>trays</e2>, tea pots, ash trays and air moisturisers.","Produkty <e1>fabryki</e1> obejmują doniczki, fińskie gwizdki dla kogutów, patelnie, <e2>tace</e2>, dzbanki na herbatę, popielniczki i nawilżacze powietrza."
Component,Whole,e2,e1,The girl showed a photo of apple <e1>tree</e1> <e2>blossom</e2> on a fruit tree in the Central Valley.,Dziewczyna pokazała zdjęcie <e1>jabłoni</e1> <e2>kwiatu</e2> na drzewie owocowym w Dolinie Środkowej.
Member,Collection,e2,e1,"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a <e1>battalion</e1> of Panzer <e2>grenadiers</e2>.",Godzinę później próbowali samodzielnie zaatakować dwiema kolumnami szesnastu czołgów wspieranych przez <e1>batalion</e1> <e2>grenadierów</e2> pancernych.
Entity,Origin,e1,e2,"Their <e1>knowledge</e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2>recruits</e2> in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.",Ich <e1>wiedza</e1> o sile i symbolach rangi imperiów kontynentalnych została zdobyta dzięki licznym germańskim <e2>rekrutom</e2> w armii rzymskiej oraz rzymskiej praktyce walki z różnymi grupami germańskich wojowników. ziemie w cesarskich prowincjach.
Member,Collection,e2,e1,She soon had a <e1>stable</e1> of her own rescued <e2>hounds</e2>.,Wkrótce miała <e1>stajnię</e1> z własnymi uratowanymi <e2>ogarami</e2>.
Cause,Effect,e1,e2,"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.","<e1>piosenkarz</e1>, który wykonał trzy z nominowanych piosenek, również wywołał <e2>zamieszanie</e2> na czerwonym dywanie."
Other,Other,,,His intellectually engaging books and <e1>essays</e1> remain pertinent to illuminating contemporary <e2>history</e2>.,Jego angażujące intelektualnie książki i <e1>eseje</e1> pozostają istotne dla naświetlenia współczesnej <e2>historii</e2>.
Member,Collection,e2,e1,"Poor hygiene controls, reports of a <e1>brace</e1> of gamey <e2>grouse</e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.","Słabe kontrole higieniczne, doniesienia o <e1>pasie</e1> z dziczyzną <e2>cietrzew</e2> i czymś, co wyglądało jak skórzany lis — wszystko to składało się na ciasto, które nie nadało się do spożycia przez ludzi."
Other,Other,,,"This sweet <e1>dress</e1> is made with a <e2>blend</e2> of cotton and silk, and the crochet flower necklace is the perfect accessory.","Ta słodka <e1>sukienka</e1> jest uszyta z <e2>mieszanki</e2> bawełny i jedwabiu, a szydełkowy naszyjnik w kwiaty jest idealnym dodatkiem."
Cause,Effect,e1,e2,"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.","<e1>Samobójstwo</e1> jest jedną z głównych przyczyn <e2>śmierci</e2> wśród nastolatków i nastolatków, a ofiary nękania są bardziej narażone na popełnienie samobójstwa."
Message,Topic,e1,e2,"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year.","Ten <e1>artykuł</e1> zawiera szczegółowe informacje na temat roku 2004 w <e2>muzyce</e2> w Wielkiej Brytanii, w tym oficjalne listy przebojów z tego roku."
Message,Topic,e1,e2,We have therefore taken the initiative to convene the first international open <e1>meeting</e1> dedicated solely to <e2>rural history</e2>.,Dlatego podjęliśmy inicjatywę zwołania pierwszego międzynarodowego otwartego <e1>spotkania</e1> poświęconego wyłącznie <e2>historii wsi</e2>.
Component,Whole,e1,e2,"The <e1>timer</e1> of the <e2>device</e2> automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.","<e1>timer</e1> <e2>urządzenia</e2> automatycznie eliminuje marnowanie energii w trybie czuwania, automatycznie wyłączając elektronikę podłączoną do gniazdek z funkcją automatycznego wyłączania."
Message,Topic,e2,e1,Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.,Bob Parks złożył podobną <e1>ofertę</e1> podczas <e2>rozmowy telefonicznej</e2> przeprowadzonej na początku tego tygodnia.
Cause,Effect,e2,e1,He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms.,Miał bóle w klatce piersiowej i <e1>bóle głowy</e1> spowodowane <e2>pleśnią</e2> w sypialniach.
Entity,Destination,e1,e2,It describes a method for loading a horizontal <e1>stack</e1> of containers into a <e2>carton</e2>.,Opisuje metodę ładowania poziomego <e1>stosu</e1> pojemników do <e2>kartonu</e2>.
Component,Whole,e1,e2,The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1>plumbing</e1> in the <e2>manor house</e2> by redirecting visitors during restoration projects and beyond.,"Fundacja postanowiła zmienić przeznaczenie budynku, aby zmniejszyć zużycie <e1>hydrauliki</e1> w <e2>dwór</e2> poprzez przekierowanie odwiedzających podczas projektów renowacji i nie tylko."
Entity,Origin,e1,e2,The technology is available to produce and transmit <e1>electricity</e1> economically from OTEC <e2>systems</e2>.,Technologia jest dostępna do ekonomicznego wytwarzania i przesyłania <e1>energii elektrycznej</e1> z <e2>systemów</e2> OTEC.
Other,Other,,,The Medicare buy-in <e1>plan</e1> ran into Senate <e2>resistance</e2>.,<e1>plan</e1> wpisowego do Medicare napotkał <e2>opór</e2> Senatu.
Component,Whole,e2,e1,"The <e1>provinces</e1> are divided into <e2>counties</e2> (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).",<e1>prowincje</e1> są podzielone na <e2>powiaty</e2> (szahrestan) oraz okręgi (bachsz) i podokręgi (dehestan).
Cause,Effect,e1,e2,Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.,<e1>stres</e1> finansowy jest jedną z głównych przyczyn <e2>rozwodów</e2>.
Instrument,Agency,e2,e1,<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>.,<e1>Gazety</e1> wymieniają się treścią za pomocą widżetów za pomocą <e2>usługi</e2> newsgator.
Cause,Effect,e1,e2,The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median.,"<e1>kobiety</e1>, które spowodowały <e2>wypadek</e2>, rozmawiały przez telefon komórkowy i przebiegły przez skrzyżowanie, nie zatrzymując się na medianie."
Content,Container,e1,e2,The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting.,"<e1>nadajnik</e1> został odkryty w <e2>apartamencie</e2> na łóżku, na którym siedział."
Member,Collection,e2,e1,The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,Rozlewiska Kerali to <e1>łańcuch</e1> słonawych <e2>lagun</e2> i jezior leżących równolegle do wybrzeża Morza Arabskiego w stanie Kerala w południowych Indiach.
Entity,Origin,e1,e2,"A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.",<e1>student</e1> St. Paul College został zwolniony z <e2>więzienia</e2> w środę wieczorem po aresztowaniu we wtorek za rzekomy gwałt na innym uczniu na terenie kampusu.
Cause,Effect,e2,e1,<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>.,<e1>Odciski</e1> są spowodowane nieprawidłowym dopasowaniem butów lub <e2>nieprawidłowościami skórnymi</e2>.
Instrument,Agency,e2,e1,<e1>Adults</e1> use <e2>drugs</e2> for this purpose.,<e1>Dorośli</e1> używają w tym celu <e2>narkotyków</e2>.
Instrument,Agency,e2,e1,The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>.,<e1>radny</e1> zaproponował ocenę nieskończonych uzupełnień poprzez <e2>wywołanie</e2>.
Cause,Effect,e2,e1,"As in the popular movie ""Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle.","Podobnie jak w popularnym filmie „Deep Impact”, akcję <e1>deszczu meteorów</e1> Perseidów powoduje <e2>kometa</e2>, w tym przypadku okresowa kometa Swift-Tuttle."
Other,Other,,,The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports.,Poniższe informacje pojawiły się w <e1>notach</e1> do skonsolidowanych <e2>sprawozdań finansowych</e2> niektórych rocznych raportów korporacyjnych.
Other,Other,,,HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn.,HipHop przywłaszcza sobie symbole społeczeństwa konsumpcyjnego: noszone są za duże <e1>diamenty</e1> <e2>colliers</e2>.
Cause,Effect,e2,e1,The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.,<e1>Promieniowanie</e1> z <e2>wybuchu bomby</e2> atomowej jest typowym promieniowaniem ostrym.
Component,Whole,e2,e1,The ride-on <e1>boat</e1> <e2>tiller</e2> was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,Jeździk <e1>łódź</e1> <e2>rumpel</e2> został opracowany przez inżynierów Arnolda S. Juliano i dr. Eulito U. Bautistę.
Cause,Effect,e2,e1,A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.,<e1>nawrót</e1> guza nowotworowego wynikał z rozległego owrzodzenia wywołanego <e2>promieniowaniem</e2>.
Cause,Effect,e2,e1,He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow.,Ma tatuaż na prawym ramieniu i <e1>blizny</e1> po <e2>szwach</e2> na prawym łokciu.
Member,Collection,e2,e1,"Whether your home includes a charm of finches, a sute of bloodhounds, or a <e1>knob</e1> of <e2>toads</e2>, I think it's important to keep the numbers within reason.","Niezależnie od tego, czy w Twoim domu jest urok zięb, miejsce ogarów, czy <e1>gałka</e1> <e2>ropuch</e2>, myślę, że ważne jest, aby liczby mieściły się w granicach rozsądku."
Message,Topic,e1,e2,"Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation.","Co więcej, ci praktycy INGO skonstruowali <e1>dyskurs</e1> wokół <e2>uczestnictwa</e2>, który wypaczał prawdziwe znaczenie uczestnictwa."
Other,Other,,,Kelvin bought a <e1>silver</e1> <e2>ring</e2> which he was so happy with and he keeps wearing it now even though its abit too big haha.,"Kelvin kupił <e1>srebrny</e1> <e2>pierścionek</e2>, z którego był bardzo zadowolony i nadal go nosi, chociaż jest trochę za duży haha."
Message,Topic,e1,e2,Scientists are in the midst of an ongoing <e1>debate</e1> about the relative <e2>value</e2> of openness and collaboration in their profession.,Naukowcy są w trakcie trwającej <e1>debaty</e1> na temat względnej <e2>wartości</e2> otwartości i współpracy w swoim zawodzie.
Content,Container,e1,e2,This cut blue and white striped cotton <e1>dress</e1> with red bands on the bodice was in a <e2>trunk</e2> of vintage Barbie clothing.,Ta fasonowa <e1>bawełniana <e1>sukienka</e1> w niebieskie i białe paski z czerwonymi paskami na gorsecie była częścią <e2>tułów</e2> starych ubrań Barbie.
Other,Other,,,My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory.,Moja główna <e1>spór</e1> z Lyonsem dotyczy <e2>przyczynowej części</e2> jego teorii.
Entity,Destination,e1,e2,Both his <e1>feet</e1> have been moving into the <e2>ball</e2>.,Obie jego <e1>nogi</e1> poruszały się w <e2>piłce</e2>.
Content,Container,e1,e2,"The scissors were in a small plastic soap container, next to a bar of soap, and the <e1>box cutters</e1> were in a <e2>box</e2> next to a bottle of after-shave lotion.","Nożyczki znajdowały się w małym plastikowym pojemniku na mydło, obok kostki mydła, a <e1>nożyce do pudełek</e1> były w <e2>pudełku</e2> obok butelki płynu po goleniu."
Member,Collection,e2,e1,"A great <e1>wing</e1> of fluorite <e2>dragons</e2>, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.","Wielkie <e1>skrzydło</e1> fluorytowych <e2>smoków</e2>, największe skupisko raczej samotnych smoków, jakie kiedykolwiek znano, dołączyło do desperackiej bitwy z niebieskimi i srebrnymi przeciwko Chaosowi."
Entity,Destination,e1,e2,"As a control, <e1>cowpea</e1> was sealed in <e2>double bags</e2> without fumigant.",Jako kontrolę <e1>cowpea</e1> został zamknięty w <e2>podwójnych workach</e2> bez fumigantu.
Other,Other,,,The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.,Zakaźna choroba bakteryjna <e1>bruceloza</e1> została wykryta u <e2>krowy</e2> mięsnej we wschodnim Idaho.
Other,Other,,,"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>.","Gdy siły anglo-normańskie poniosły niewielkie straty w tej bitwie, ich łucznicy na początku zasypali grad strzał na irlandzkiego wojska, które nie były chronione kolczugą, i zestrzelili ich setkami, zanim zdążyli się zbliżyć; a potem szarża ciężkiej anglo-normańskiej kawalerii rycerzy w kolczugach, zakończyła spustoszenie i <e1>pogrom</e1> niezdyscyplinowanych <e2>zastępów</e2> gaelickich."
Entity,Origin,e1,e2,"The first incarnation of this series was set in the 1940s, during World War II, when the <e1>princess</e1> left her native paradise <e2>island</e2> (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.","Pierwsze wcielenie tej serii miało miejsce w latach czterdziestych, podczas II wojny światowej, kiedy <e1>księżniczka</e1> opuściła swój rodzinny raj <e2>wyspę</e2> (na której od wieków mieszkały Amazonki), aby pomóc USA udaremniły nazistów."
Message,Topic,e1,e2,Cieply's <e1>story</e1> makes a compelling <e2>point</e2> about modern-day studio economics.,<e1>historia</e1> Cieply przedstawia przekonującą <e2>punkt</e2> dotyczącą współczesnej ekonomii studia.
Entity,Destination,e1,e2,We poured the <e1>milk</e1> into the <e2>pumpkin mixture</e2>.,Wlaliśmy <e1>mleko</e1> do <e2>mieszanki dyniowej</e2>.
Entity,Origin,e1,e2,Lawyers in Detroit also worked overtime as several <e1>lawsuits</e1> ensued from angry and injured <e2>fans</e2>.,"Prawnicy w Detroit również pracowali w nadgodzinach, ponieważ kilka <e1>pozwów</e1> wytoczyło rozgniewanych i rannych <e2>fanów</e2>."
Cause,Effect,e2,e1,The continuing Nigerian <e1>outbreak</e1> is the biggest ever caused by the <e2>vaccine</e2>.,Trwająca <e1>wybuch</e1> w Nigerii jest największą w historii wywołaną przez <e2>szczepionkę</e2>.
Member,Collection,e2,e1,Our mercenary Army has now degenerated into a Godless <e1>cabal</e1> of mindless <e2>killers</e2> not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).,"Nasza armia najemników zdegenerowała się teraz w bezbożną <e1>kabałę</e1> bezmyślnych <e2>morderców</e2>, podobnie jak Sowieci, którzy mordowali cywilów w Afganistanie (dokładnie tak sadystycznie jak my)."
Cause,Effect,e2,e1,The <e1>fire</e1> inside WTC was caused by exploding <e2>fuel</e2>.,<e1>Pożar</e1> wewnątrz WTC został spowodowany wybuchem <e2>paliwa</e2>.
Entity,Destination,e1,e2,The <e1>epithelium</e1> from the knockout mouse bladder is migrating into the transplanted <e2>matrix</e2>.,<e1>nabłonek</e1> z nokautowanego pęcherza myszy migruje do przeszczepionej <e2>macierzy</e2>.
Entity,Origin,e1,e2,The <e1>staff</e1> was removed from his <e2>position</e2>.,<e1>personel</e1> został usunięty ze swojego <e2>stanowiska</e2>.
Cause,Effect,e2,e1,The <e1>suffering</e1> caused by the <e2>terrorists</e2> is the real torture.,<e1>Cierpienie</e1> spowodowane przez <e2>terrorystów</e2> jest prawdziwą torturą.
Message,Topic,e2,e1,This <e1>love</e1> of nature's gift has been reflected in <e2>artworks</e2> dating back more than a thousand years.,Ta <e1>miłość</e1> daru natury znalazła odzwierciedlenie w <e2>dziełach</e2> sprzed ponad tysiąca lat.
Product,Producer,e2,e1,The <e1>court</e1> decided the objection by making the instalment <e2>order</e2> as sought.,"<e1>sąd</e1> rozstrzygnął sprzeciw, wydając <e2>nakaz</e2> raty zgodnie z żądaniem."
Cause,Effect,e2,e1,"In a poetic twist, the <e1>tsunami</e1> triggered by the rock <e2>band</e2> forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.","W poetyckim wydaniu, <e1>tsunami</e1> wywołane przez <e2>zespół</e2> rockowy zmusiło wielu amerykańskich śpiewaków jazzowych i bluesowych do szukania pracy w Wielkiej Brytanii, gdzie Anderson znalazł przychylną publiczność w 1965."
Cause,Effect,e2,e1,<e1>Leakage</e1> and fire caused due to <e2>corrosion</e2> of bypass piping for recirculation gas at a fuel oil desulphurization unit.,<e1>Wyciek</e1> i pożar spowodowany <e2>korozją</e2> rurociągu obejściowego gazu recyrkulacyjnego w instalacji odsiarczania oleju opałowego.
Instrument,Agency,e2,e1,A team of students from Virginia Tech University have created a vehicle that allows vision impaired <e1>drivers</e1> to take control of the <e2>wheel</e2>.,"Zespół studentów z Virginia Tech University stworzył pojazd, który pozwala <e1>kierowcom z upośledzeniem wzroku</e1> przejąć kontrolę nad <e2>kołem</e2>."
Member,Collection,e2,e1,BMW's iDrive 4.0 brings in a <e1>horde</e1> of new <e2>features</e2>.,BMW iDrive 4.0 wprowadza <e1>hordę</e1> nowych <e2>funkcji</e2>.
Cause,Effect,e1,e2,The metal <e1>ball</e1> makes a ding ding ding <e2>noise</e2> when it swings back and hits the metal body of the lamp.,"Metalowa <e1>kula</e1> robi ding ding ding ding <e2>hałas</e2>, gdy odskakuje i uderza w metalowy korpus lampy."
Member,Collection,e2,e1,It consists of an <e1>ensemble</e1> of <e2>ladies</e2> who are highly qualified to play various Arabic musical instruments.,"Składa się z <e1>zespołu</e1> składającego się z <e2>pań</e2>, które mają wysokie kwalifikacje do gry na różnych arabskich instrumentach muzycznych."
Product,Producer,e1,e2,It underscores the need for continued surveillance of nicotine delivery in <e1>products</e1> created by an unregulated <e2>industry</e2>.,Podkreśla potrzebę ciągłego nadzoru nad dostarczaniem nikotyny w <e1>produktach</e1> stworzonych przez nieuregulowany <e2>przemysł</e2>.
Other,Other,,,"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet <e1>sand</e1> of the <e2>beach</e2>.","W przeciwieństwie do innych ryb, grunion całkowicie wynurza się z wody, aby złożyć jaja na mokrym <e1>piasku</e1> <e2>plaży</e2>."
Entity,Destination,e1,e2,A large <e1>marble</e1> was dropped into the <e2>bowl</e2>.,Do <e2>miski</e2> wrzucono duży <e1>marmur</e1>.
Cause,Effect,e2,e1,Historical view of the <e1>damage</e1> caused by the 1693 Catania <e2>earthquake</e2> and the reconstruction activities.,Historyczny widok <e1>szkod</e1> spowodowanych przez <e2>trzęsienie ziemi</e2> w Katanii w 1693 roku i odbudowa.
Cause,Effect,e2,e1,"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the <e1>suffering</e1> caused by the responsible police <e2>officers</e2>.","AI zażądała, aby sprawcy byli ścigani w najszerszym zakresie prawa, aby ofiarom przyznano odpowiednie odszkodowanie oraz aby wyżsi urzędnicy rządowi i policji przeprosili za <e1>cierpienia</e1> spowodowane przez odpowiedzialną policję <e2> funkcjonariusze</e2>."
Other,Other,,,The <e1>findings</e1> have been published in a special <e2>section</e2> of the academic journal Archives of Sexual Behavior.,<e1>Wyniki</e1> zostały opublikowane w specjalnej <e2>sekcji</e2> czasopisma akademickiego Archives of Sexual Behavior.
Entity,Origin,e1,e2,An Amtrak <e1>passenger</e1> who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the <e2>train</e2> and is being held in Colorado.,"<e1>pasażer</e1> Amtrak, który zaalarmował współpasażerów, mówiąc przez telefon o zagrożeniach terrorystycznych, został wyciągnięty z <e2>pociągu</e2> i jest przetrzymywany w Kolorado."
Component,Whole,e1,e2,The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.,"<e1>Wprowadzenie</e1> w <e2>książce</e2> jest podsumowaniem tego, co znajduje się w tekście."
Entity,Origin,e1,e2,The second <e1>simulation</e1> was started from the uncomplexed x-ray <e2>structure</e2> after insertion of the ligand into the binding site.,Druga <e1>symulacja</e1> została rozpoczęta od nieskompleksowanej <e2>struktury</e2> rentgenowskiej po wstawieniu liganda do miejsca wiązania.
Instrument,Agency,e2,e1,This <e1>user</e1> plays games on a portable <e2>console</e2>.,Ten <e1>użytkownik</e1> gra w gry na przenośnej <e2>konsoli</e2>.
Entity,Origin,e1,e2,The ambitious Eurasia <e1>exhibition</e1> arose from an <e2>idea</e2> by Achille Bonito Oliva.,Ambitna <e1>wystawa</e1> Eurasia zrodziła się z <e2>pomysłu</e2> Achille Bonito Oliva.
Instrument,Agency,e2,e1,The <e1>driver</e1> of the cement truck cleaned the loading chute on his truck with a truck-mounted water <e2>hose</e2> and began to pull away.,<e1>Kierowca</e1> ciężarówki z cementem wyczyścił rynnę załadowczą na swojej ciężarówce za pomocą <e2>węża</e2> z wodą zamontowaną na ciężarówce i zaczął odjeżdżać.
Member,Collection,e2,e1,In the corner there are several gate captains and a <e1>legion</e1> of Wu <e2>crossbowmen</e2>.,W rogu znajduje się kilku kapitanów bramy i <e1>legion</e1> Wu <e2>kuszników</e2>.
Cause,Effect,e2,e1,"Once they grow there, the <e1>swelling</e1> and inflammation caused by the <e2>infection</e2> closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.","Gdy już tam wyrosną, <e1>obrzęk</e1> i stan zapalny spowodowane <e2>infekcją</e2> zamykają worek, powodując, że nie „rozlewają się” one z nim bakterie i chroniąc je przed antybiotykami i własne komórki odpornościowe organizmu."
Cause,Effect,e2,e1,"Guitars are played acoustically; the <e1>tone</e1> is produced by the <e2>vibration</e2> of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.","Na gitarach gra się akustycznie; <e1>ton</e1> jest wytwarzany przez <e2>wibracje</e2> strun, które są wzmacniane przez korpus gitary, który działa jak duża pusta komora rezonansowa, lub mogą one polegać na wzmacniaczu który może elektronicznie manipulować tonem."
Other,Other,,,"Flowers are reborn from the soil and the climate begins to warm, all set to a <e1>score</e1> improvised by an <e2>orchestra</e2> of birds.","Kwiaty odradzają się z gleby, a klimat zaczyna się ocieplać, a wszystko to zgodnie z <e1>punktacją</e1> improwizowanym przez <e2>orkiestrę</e2> ptaków."
Entity,Destination,e1,e2,He posted the <e1>answers</e1> to the <e2>website</e2>.,Opublikował <e1>odpowiedzi</e1> na <e2>witrynie</e2>.
Cause,Effect,e2,e1,"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the <e1>threat</e1> caused by the <e2>spell</e2> is minimal.","Arcane Subtlety zmniejszyło zagrożenie powodowane przez Polimorfię o 40% na maksymalnej randze, chociaż <e1>zagrożenie</e1> powodowane przez <e2>zaklęcie</e2> jest minimalne."
Instrument,Agency,e2,e1,A <e1>programmer</e1> uses a high level <e2>language</e2> to implement its algorithms.,<e1>Programista</e1> używa <e2>języka</e2> wysokiego poziomu do implementacji swoich algorytmów.
Cause,Effect,e2,e1,"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the <e1>earthquakes</e1> are caused by the <e2>movements</e2> of hydrothermal and/or magmatic fluids.","Piękne elementy hydrotermalne w parku (gejzery, gorące źródła, zbiorniki błotne itp.), wypiętrzanie i opadanie oraz wiele <e1>trzęsień ziemi</e1> jest spowodowanych przez <e2>ruchy</e2> płyny hydrotermalne i/lub magmowe."
